Nume,Prenume,Specialitate
MIHAILESCU,DOINA IOANA,GINECOLOGIE
BANDE,ADORIAN,CHIRURGIE GENERALA
ROSU,ADRIAN,CHIRURGIE GENERALA
APARU,ANCA,HEMATOLOGIE
PUIU,GEORGIANA,CARDIOLOGIE
PISTOL,ADRIANA,EPIDEMIOLOGIE
RADA,IOANA,GINECOLOGIE
VASCU,CORNELIU,ORL
TIGAU,MIRELA,PNEUMOLOGIE
LUCA,ANDREI,ORL
MUNTEAN,LIVIU,CHIRURGIE GENERALA
DRACEA,LAURA LARISA,PEDIATRIE
PRUNOIU,CRISTINA,MEDICINA INTERNA
SZINI,ELENA,CHIRURGIE GENERALA
OPRESCU,NICOLETA,CARDIOLOGIE
DAVID,ADRIANA,PSIHIATRIE
RADUTOIU,ELENA,NEUROLOGIE
STOIA,STELIAN,PNEUMOLOGIE
BOTEZ,PAUL,ORTOPEDIE
VINTILA,AURA,ENDOCRINOLOGIE
ROTARU,CLAUDIU,FIZIOTERAPIE
ALDEA,RALUCA,NEUROLOGIE
DABIJA,ANCA,RADIOLOGIE
CITA,RADIANA,CARDIOLOGIE
FERICIAN,ADELA,UROLOGIE
HADNAGY,LADISLAU,GINECOLOGIE
BELEI,OANA,PEDIATRIE
COJOCARU,ADRIANA,RADIOLOGIE
SANDIC,MARIA,MEDICINA MUNCII
DATCU,ALINA,GINECOLOGIE
POPESCU,CATALIN,OFTALMOLOGIE
DAN,NICOLETA,ENDOCRINOLOGIE
TANASESCU,CARMEN,PEDIATRIE
MIHAILA,ADRIAN,GINECOLOGIE
COJAN,CARMEN MARIA,PEDIATRIE
URSEA,MIHAELA,GINECOLOGIE
SERBAN,ANA MARIA,CARDIOLOGIE
CONSTANTIN,ANCA,GINECOLOGIE
VLADAREANU,RADU,GINECOLOGIE
COMSA,SERBAN,CHIRURGIE VASCULARA
ZAMFIR,MIHAELA,PSIHOLOGIE
POPESCU,DIANA,PSIHOLOGIE
SRAM,LIVIA,OFTALMOLOGIE
SCHMIDT,ROLAND,GINECOLOGIE
MIHAI,DANIEL,ENDOCRINOLOGIE
